ID,Town,County,Country
1,A' Chill,Highland,Scotland
2,Aaron's Hill,Surrey,England
3,Ab Kettleby,Leicestershire,England
4,Ab Lench,Worcestershire,England
5,Abbas Combe,Somerset,England
6,Abberley,Worcestershire,England
7,Abberton,Worcestershire,England
8,Abberton,Essex,England
9,Abbess End,Essex,England
10,Abbess Roding,Essex,England
11,Abbey,Devon,England
12,Abbey Dore,Herefordshire,England
13,Abbey Field,Essex,England
14,Abbey Gate,Devon,England
15,Abbey Gate,Kent,England
16,Abbey Green,Shropshire,England
17,Abbey Green,Staffordshire,England
18,Abbey Hey,Greater Manchester,England
19,Abbey Hulton,Staffordshire,England
20,Abbey Mead,Surrey,England
21,Abbey St Bathans,Scottish Borders,Scotland
22,Abbey Village,Lancashire,England
23,Abbey Wood,"Greenwich, Greater London",England
24,Abbey Yard,Dumfries and Galloway,Scotland
25,Abbeycwmhir,Powys,Wales
26,Abbeydale,South Yorkshire,England
27,Abbeydale,Gloucestershire,England
28,Abbeydale Park,South Yorkshire,England
29,Abbeyhill,City of Edinburgh,Scotland
30,Abbeystead,Lancashire,England
31,Abbeytown,Cumbria,England
32,Abbot's Meads,Cheshire,England
33,Abbot's Salford,Warwickshire,England
34,Abbots Bickington,Devon,England
35,Abbots Bromley,Staffordshire,England
36,Abbots Langley,Hertfordshire,England
37,Abbots Leigh,Somerset,England
38,Abbots Morton,Worcestershire,England
39,Abbots Ripton,Cambridgeshire,England
40,Abbots Worthy,Hampshire,England
41,Abbotsbury,Dorset,England
42,Abbotsford,West Sussex,England
43,Abbotsham,Devon,England
44,Abbotskerswell,Devon,England
45,Abbotsleigh,Devon,England
46,Abbotsley,Cambridgeshire,England
47,Abbotstone,Hampshire,England
48,Abbotswood,Surrey,England
49,Abbotts Ann,Hampshire,England
50,Abcott,Shropshire,England
51,Abdon,Shropshire,England
52,Abdy,South Yorkshire,England
53,Aber Arad,Carmarthenshire,Wales
54,Aber Village,Powys,Wales
55,Aber-banc,Ceredigion,Wales
56,Aber-Cywarch,Gwynedd,Wales
57,Aber-Giâr,Carmarthenshire,Wales
58,Aber-oer,Wrexham,Wales
59,Aberaeron,Ceredigion,Wales
60,Aberaman,Rhondda Cynon Taf,Wales
61,Aberangell,Gwynedd,Wales
62,Aberarder,Highland,Scotland
63,Aberargie,Perth and Kinross,Scotland
64,Aberarth,Ceredigion,Wales
65,Aberavon,Neath Port Talbot,Wales
66,Aberbargoed,Caerphilly,Wales
67,Aberbechan,Powys,Wales
68,Aberbeeg,Blaenau Gwent,Wales
69,Aberbran,Powys,Wales
70,Abercanaid,Merthyr Tydfil,Wales
71,Abercarn,Caerphilly,Wales
72,Abercastle,Pembrokeshire,Wales
73,Abercegir,Powys,Wales
74,Aberchalder,Highland,Scotland
75,Aberchirder,Aberdeenshire,Scotland
76,Abercorn,West Lothian,Scotland
77,Abercraf,Powys,Wales
78,Abercregan,Neath Port Talbot,Wales
79,Abercrombie,Fife,Scotland
80,Abercwmboi,Rhondda Cynon Taf,Wales
81,Abercych,Pembrokeshire,Wales
82,Abercynon,Rhondda Cynon Taf,Wales
83,Aberdalgie,Perth and Kinross,Scotland
84,Aberdare/Aberdar,Rhondda Cynon Taf,Wales
85,Aberdaron,Gwynedd,Wales
86,Aberdeen,Aberdeen City,Scotland
87,Aberdesach,Gwynedd,Wales
88,Aberdour,Fife,Scotland
89,Aberdulais,Neath Port Talbot,Wales
90,Aberdyfi,Gwynedd,Wales
91,Aberedw,Powys,Wales
92,Abereiddy,Pembrokeshire,Wales
93,Abererch,Gwynedd,Wales
94,Aberfan,Merthyr Tydfil,Wales
95,Aberfeldy,Perth and Kinross,Scotland
96,Aberffraw,Isle of Anglesey,Wales
97,Aberffrwd,Ceredigion,Wales
98,Aberffrwd,Monmouthshire,Wales
99,Aberford,West Yorkshire,England
100,Aberfoyle,Stirling,Scotland
101,Abergarw,Bridgend,Wales
102,Abergarwed,Neath Port Talbot,Wales
103,Abergavenny/Y Fenni,Monmouthshire,Wales
104,Abergele,Conwy,Wales
105,Abergorlech,Carmarthenshire,Wales
106,Abergwesyn,Powys,Wales
107,Abergwili,Carmarthenshire,Wales
108,Abergwynfi,Neath Port Talbot,Wales
109,Abergwyngregyn,Gwynedd,Wales
110,Abergynolwyn,Gwynedd,Wales
111,Aberhosan,Powys,Wales
112,Aberkenfig,Bridgend,Wales
113,Aberlady,East Lothian,Scotland
114,Aberlemno,Angus,Scotland
115,Aberlerry,Ceredigion,Wales
116,Aberllefenni,Gwynedd,Wales
117,Abermagwr,Ceredigion,Wales
118,Abermorddu,Flintshire,Wales
119,Abermule/Aber-miwl,Powys,Wales
120,Abernant,Carmarthenshire,Wales
121,Abernant,Powys,Wales
122,Abernethy,Perth and Kinross,Scotland
123,Abernyte,Perth and Kinross,Scotland
124,Aberporth,Ceredigion,Wales
125,Abersoch,Gwynedd,Wales
126,Abersychan,Torfaen,Wales
127,Aberthin,The Vale of Glamorgan,Wales
128,Abertillery/Abertyleri,Blaenau Gwent,Wales
129,Abertridwr,Powys,Wales
130,Abertridwr,Caerphilly,Wales
131,Abertrinant,Gwynedd,Wales
132,Abertysswg,Caerphilly,Wales
133,Aberuthven,Perth and Kinross,Scotland
134,Aberwheeler/Aberchwiler,Denbighshire,Wales
135,Aberyscir,Powys,Wales
136,Aberystwyth,Ceredigion,Wales
137,Abhainn Suidhe,Na h-Eileanan an Iar,Scotland
138,Abingdon,Oxfordshire,England
139,Abinger Common,Surrey,England
140,Abinger Hammer,Surrey,England
141,Abington,South Lanarkshire,Scotland
142,Abington,Northamptonshire,England
143,Abington Pigotts,Cambridgeshire,England
